title,number,author
キングダム,67,原泰久
とんでもスキルで異世界放浪メシ,9,赤岸K
東京卍リベンジャーズ,31,和久井健
来世は他人がいい,7,小西明日翔
異世界薬局,9,高野聖
八男って、それはないでしょう！,12,楠本弘樹
辺境ぐらしの魔王、転生して最強の魔術師になる,5,村市
ブルーロック,22,金城宗幸
スキップとローファー,8,高松美咲
Lv2からチートだった元勇者候補のまったり異世界ライフ,8,糸町秋音
フラジャイル,24,恵三朗
豚公爵に転生したから、今度は君に好きと言いたい,8,fujy
ヘルモード　～やり込み好きのゲーマーは廃設定の異世界で無双する～はじ...,5,鉄田猿児
エロスの種子,7,もんでんあきこ
バウンサー,13,みずたまこと
【推しの子】,10,赤坂アカ
舞妓さんちのまかないさん,22,小山愛子
ありふれた職業で世界最強,11,RoGa
もののがたり,15,オニグンソウ
英雄王、武を極めるため転生す ～そして、世界最強の見習い騎士♀～,4,ハヤケン
チェンソーマン,13,藤本タツキ
社畜と少女シリーズ,15,板場広志
ガンニバル,13,二宮正明
スーパーの裏でヤニ吸うふたり,2,地主
リエゾン,11,ヨンチャン
王国へ続く道　奴隷剣士の成り上がり英雄譚,9,伊藤寿規
小悪魔教師サイコ,3,合田蛍冬
望郷太郎,8,山田芳裕
マザーパラサイト,7,佐藤洋寿
失業賢者の成り上がり～嫌われた才能は世界最強でした～,10,三河ごーすと
人間不信の冒険者たちが世界を救うようです,6,川上真樹
青野くんに触りたいから死にたい,10,椎名うみ
黒の召喚士,15,天羽銀
高度に発達した医学は魔法と区別がつかない,3,瀧下信英
乙嫁語り,14,森薫
呪術廻戦,21,芥見下々
ぼっち・ざ・ろっく！,5,はまじあき
化物語,40,西尾維新
金魚妻,11,黒澤R
異世界のんびり農家,10,剣康之
あおざくら　防衛大学校物語,27,二階堂ヒカル
ちいかわ　なんか小さくてかわいいやつ,5,ナガノ
追放されたお荷物テイマー、世界唯一のネクロマンサーに覚醒する　～The t...,4,青峰翼
アオアシ,30,小林有吾
神達に拾われた男,9,Roy
転生したらスライムだった件,23,伏瀬
モブ子の恋,15,田村茜
最強の黒騎士、戦闘メイドに転職しました,8,百門一新
異世界でも鍵屋さん【電子単行本版】,4,もりこも
ONE PIECE モノクロ版,104,尾田栄一郎
